exp_id,policy,learning_rate,gamma,batch_size,exploration_initial_eps,exploration_final_eps,exploration_fraction,buffer_size,learning_starts
1,CnnPolicy,0.00008,0.985,256,1.0,0.02,0.15,100000,10000
2,CnnPolicy,0.0006,0.925,256,1.0,0.03,0.1,100000,10000
3,CnnPolicy,0.00015,0.89,32,1.0,0.02,0.2,100000,10000
4,CnnPolicy,0.0009,0.975,256,1.0,0.04,0.1,100000,10000
5,CnnPolicy,0.00005,0.965,256,1.0,0.02,0.15,100000,10000
6,CnnPolicy,0.0025,0.985,32,1.0,0.03,0.2,100000,10000
7,CnnPolicy,0.0018,0.91,256,1.0,0.02,0.12,100000,10000
8,CnnPolicy,0.0003,0.93,256,1.0,0.01,0.18,100000,10000
9,CnnPolicy,0.00012,0.975,128,1.0,0.02,0.25,100000,10000
10,CnnPolicy,0.0038,0.88,32,1.0,0.03,0.15,100000,10000
